loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
Nhà trong hẻm,"Bán nhà 1 mê hẻm nội bộ 438/ Trần Hưng Đạo , hẻm rộng 3m - DT 55m2 ngang 4m - Giá 3,25tỷ","3,25 tỷ",55 m²,4x13m,Đông,1 tầng,2 PN,,,Thành phố Quy Nhơn,ĐƯỜNG NỘI BỘ TRẦN HƯNG ĐẠO – P. THỊ NẠI 🏡  📍 Vị trí đẹp gần cây xăng Trần Hưng Đạo 👉 Khu trung tâm,https://alonhadat.com.vn/-ban-lo-goc-126m-lo-17-duong-phan-thuc-truc-p-nhon-binh-18243735.html
Nhà mặt tiền,"Bán Homstay 4 tầng , 13phòng kinh doanh đường Nguyễn Văn Trỗi - DT 114m2 - DTSD 400m2",13 tỷ,114 m²,"5,6x21m",Đông,4 tầng,13 PN,,,Thành phố Quy Nhơn,đường Nguyễn Văn Trỗi - DT 114m2 - DTSD 400m2 Hôm nay  🔥 HOMESTAY 4 MÊ – 13 PHÒNG KINH DOANH – NGAY QUẢNG TRƯỜNG TRUNG TÂM QUY NHƠN 🔥  💎 Cơ hội sở hữu mô hình lưu trú dòng tiền sẵn – khai thác ngay tại khu du lịch sầm uất bậc nhất TP. Quy Nhơn  📍 Vị trí vàng: – Sát ......  << Xem chi tiết >>   14m4 tầng13 phòng ngủ                                           Giá: 13 tỷ                                              Diện tích: 114 m² KT: 5,https://alonhadat.com.vn/can-ban-nha-5-tang-mat-tien-duong-tran-anh-tong-dt-85m2-ngang-5m-15238543.html
Nhà mặt tiền,"Bán căn nhà mặt tiền đường điện biên phủ, quy nhơn. Nhà cấp 4, diện tích 375m2.","13,2 tỷ",375 m²,"7,5x50m",Tây,1 tầng,1 PN,,,Thành phố Quy Nhơn,đường điện biên phủ,https://alonhadat.com.vn/ban-can-nha-mat-tien-duong-dien-bien-phu-quy-nhon-nha-cap-4-dien-tich-375m2--15598858.html
"Biệt thự, nhà liền kề",HÀNG HIẾM – BIỆT THỰ ĐẸP GIÁ TỐT TẠI QUY NHƠN,"3,6 tỷ",63m²,,,3 tầng,5 PN,,,Thành phố Quy Nhơn,Đường Võ Nguyên Giáp,https://alonhadat.com.vn/hang-hiem-biet-thu-dep-gia-tot-tai-quy-nhon-18328785.html
Đất nền/liền kề/đất dự án,"CẦN SANG LẠI LÔ ĐẤT ĐỐI DIỆN CÔNG VIÊN , QUẢNG TRƯỜNG MỚI TRUNG TÂM THỊ XÃ AN NHƠN !","2,5 tỷ",125 m²,5x25m,Nam,,,,,Thị xã An Nhơn,Đường Lê Hồng Phong,https://alonhadat.com.vn/can-sang-lai-lo-dat-doi-dien-cong-vien-quang-truong-moi-trung-tam-thi-xa-an-nhon--10986010.html
"Biệt thự, nhà liền kề","🏡 BÁN BIỆT THỰ MINI – ĐƯỜNG TRẦN THỊ LÝ, KHU GHỀNH RÁNG – GẦN BIỂN",13 tỷ,202 m²,"8,7x23m",Đông,3 tầng,5 PN,,,Thành phố Quy Nhơn,ĐƯỜNG TRẦN THỊ LÝ,https://alonhadat.com.vn/can-ban-nha-4-tang-mat-tien-duong-tram-hung-dao-vi-tri-dep-dt-140m2-ngang-4-5m-14745941.html
Nhà trong hẻm,"Bán nhà 3 mê mới hẻm 3 mét La Văn Tiến khu gềnh ráng gần cách biển 400m. 53m2 giá 2,5tỷ","2,5 tỷ",53 m²,"3,6x14,7m",Tây,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường La Văn Tiến,https://alonhadat.com.vn/ban-nha-3-me-moi-hem-3-met-la-van-tien-khu-genh-rang-gan-cach-bien-400m-53m2-gia-2-5ty-18471591.html
Nhà trong hẻm,"Bán Nhà 3 Tầng đường 10m Oto Đậu Võ Văn Dũng ph Ngô Mây, Quy Nhơn. 60,3m², RẺ CHỈ 4 ty xxz","4,65 tỷ",60 m²,,Đông,3 tầng,3 PN,,,Thành phố Quy Nhơn,đường 10m Oto Đậu Võ Văn Dũng ph Ngô Mây,https://alonhadat.com.vn/ban-nha-3-tang-duong-10m-oto-dau-vo-van-dung-ph-ngo-may-quy-nhon-60-3m-re-chi-4-ty-xxz-18399282.html
Nhà trong hẻm,Bán nhà 1 mê đúc 2 tâng hẻm gara quyền dt 49m2 giá 2ty350,"2,35 tỷ",49 m²,,Đông,2 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Tây Sơn,https://alonhadat.com.vn/ban-lo-dat-gia-1ty150-khu-vuc-8-tran-quang-dieu-lo-gioi-dg-13m-cach-nga-3-phua-tai-200m-13280825.html
Đất thổ cư/đất ở,"Bán Quỹ lô đất Khu dân cư Tân Thanh, Cát Hải","1,26 tỷ",200 m²,8x25m,,,,,,Huyện Phù Cát,Đường Tỉnh lộ 639,https://alonhadat.com.vn/ban-quy-lo-dat-khu-dan-cu-tan-thanh-cat-hai-16977721.html
Nhà mặt tiền,Bán nhà 5 mê mặt tiền đường Lê Hồng Phong - DT 107m2 ngang 6m - Đan cho thuê 45tr/tháng,24 tỷ,107m²,6x18m,,4 tầng,5 PN,,,Thành phố Quy Nhơn,đường Lê Hồng Phong - DT 107m2 ngang 6m - Đan cho thuê 45tr/tháng Hôm nay  🏢🔥 BÁN NHÀ 5 MÊ MẶT TIỀN LÊ HỒNG PHONG 🔥🏢  📍 Phường Quy Nhơn – vị trí đắc địa,https://alonhadat.com.vn/-chinh-chu-can-ban-gap-2-lo-dat-lien-ke-lo-goc-dep-duong-doi-cung-dt-292-5m2-16949309.html
Nhà mặt tiền,Bán nhà 3 tầng góc 2 mặt tiền đường Hoàng Hoa Thám,11 tỷ,80 m²,4x20m,Đông,3 tầng,3 PN,,,Thành phố Quy Nhơn,đường Hoàng Hoa Thám Hôm nay  👉👉 Căn 1: Bán nhà góc 2 mặt tiền Hoàng Hoa Thám.  Dt: 4m x 20m. (Đã up tài sản) Đông Vị trí ngay cua 2 mặt tiền,https://alonhadat.com.vn/ban-nha-3-tang-goc-2-mat-tien-duong-hoang-hoa-tham-78m2-17933132.html
Căn hộ chung cư,"Bán căn hộ ALTARA Quy Nhơn 2pn. 2,5 tỷ CĂN GÓC 70m2, Sổ Hồng Lâu dài..(hỗ trợ vay 70%)","2,5 tỷ",70 m²,,,8 tầng,2 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/ban-can-ho-altara-quy-nhon-2pn-1-82-ty-can-goc-70m2-so-hong-lau-dai-ho-tro-vay-70--13303932.html
Nhà trong hẻm,"***cty bds sang land mở ban   _cần bángấp homesatay đường nội bộ trần văn ơn ,hiện trạng n","18,5 tỷ",160 m²,,,3 tầng,8 PN,,,Thành phố Quy Nhơn,đường nội bộ trần văn ơn,https://alonhadat.com.vn/-cty-bds-sang-land-mo-ban-can-bangap-homesatay-duong-noi-bo-tran-van-on-hien-trang-n-11849166.html
Nhà trong hẻm,"Bán nhà cấp 4 hẻm cạn đường Hàn Mạc Tử , hẻm rộng 3,1m - DT 77m2 ngang 4m - Giá 2,9tỷ","2,9 tỷ",77m²,4x19m,Đông,,2 PN,,,Thành phố Quy Nhơn,đường Hàn Mạc Tử,https://alonhadat.com.vn/ban-nha-cap-4-hem-can-duong-han-mac-tu-hem-rong-3-1m-dt-77m2-ngang-4m-gia-3-ty-18605865.html
Nhà trong hẻm,Bán nhà 3 tầng đường nội bộ chương dương dt 130m2 giá 10ty500,"10,5 tỷ",130m²,5x26m,Đông,3 tầng,5 PN,,,Thành phố Quy Nhơn,đường nội bộ chương dương dt 130m2 giá 10ty500 Hôm nay  Bán nhà 3 tầng đường nội bộ 64/ Chương Dương (nội bộ thông Ngô Gia Tự) Diện tích: 130m² (ngang 5m x dài 22m) Kết cấu: Nhà 3 tầng kiên cố (5pn lớn,https://alonhadat.com.vn/ban-2-can-nha-1-me-moi-xay-hem-ron-3m-duong-han-mac-tu-gia-2ty600-15782297.html
Nhà mặt tiền,"Bán nhà mặt tiền đường Thành Thái 45m2 , 90m2 và 81m2","8,5 tỷ",90 m²,"4,5x20m",Đông,4 tầng,3 PN,,,Thành phố Quy Nhơn,đường Thành Thái 45m2,https://alonhadat.com.vn/ban-nha-cap-4-duong-nguyen-truong-to-dien-tich-60m2-8643786.html
Căn hộ chung cư,"BÁN CĂN 1PN - 2PN - 3PN ECOLIFE, CÓ SỔ, NHẬN NHÀ Ở NGAY","1,25 tỷ",64 m²,,,15 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Điện Biên Phủ,https://alonhadat.com.vn/lai-cao-nen-ban-lo-chung-cu-2pn-ecolife-quy-nhon-co-so-san--12529978.html
Đất thổ cư/đất ở,"Bán đất đẹp thuộc khu dân cư cạnh khu logistic xã Phước Lộc,  vị trí đắc địa, tiềm năng.","1,15 tỷ",100 m²,5x20m,Tây,,,,,Huyện Tuy Phước,Đường Quốc Lộ 19,https://alonhadat.com.vn/ban-dat-dep-thuoc-khu-dan-cu-canh-khu-logistic-xa-phuoc-loc-vi-tri-dac-dia-tiem-nang--17096688.html
Đất thổ cư/đất ở,"Bán đất đẹp khu dân cư quảng vân, xã phước thuận, tuy phước, bình định.","1,7 tỷ",100 m²,5x20m,Nam,,,,,Huyện Tuy Phước,Đường Tĩnh Lộ 640,https://alonhadat.com.vn/ban-dat-dep-khu-dan-cu-quang-van-xa-phuoc-thuan-tuy-phuoc-binh-dinh--13892014.html
Căn hộ chung cư,The Sailing - sở hữu sổ hồng lâu dài - bàn giao 2026 - căn hộ có vị trí đẹp nhất Quy Nhơn,"2,6 tỷ",60 m²,5x12m,Đông,26 tầng,2 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường Lê Duẩn,https://alonhadat.com.vn/the-sailing-so-huu-so-hong-lau-dai-ban-giao-2026-can-ho-co-vi-tri-dep-nhat-quy-nhon-18328699.html
Căn hộ chung cư,"Cần bán căn hộ chung cư Phú Tài Residence 2PN 2WC 72m2 full nội thất giá 1,8 tỷ","1,8 tỷ",72 m²,7x11m,,11 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,Đường Lê Đức Thọ,https://alonhadat.com.vn/can-ban-can-ho-chung-cu-phu-tai-residence-2pn-2wc-72m2-full-noi-that-gia-1-8-ty-18036276.html
Đất thổ cư/đất ở,"🥰🥰🥰 Sốc Tháo Lỗ , 6️⃣5️⃣0️⃣ Triệu 🤪🤪🤪 Lô Tdc Mỹ Thạnh,  Xã Nhơn Phúc.","4,5 triệu",149 m²,"5,6x27m",Đông,,,,,Thị xã An Nhơn,Đường An Thái 1,https://alonhadat.com.vn/-soc-shock-short-thao-lo-lo-tdc-my-thanh-xa-nhon-phuc--18630650.html
Nhà trong hẻm,Bán nhà hẻm Phan Bội Châu 34m2 và 31m2,"2,05 tỷ",31 m²,"6,5x4,7m",,2 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Phan Bội Châu,https://alonhadat.com.vn/ban-nha-2-tang-mat-tien-duong-le-anh-xuan-gan-duong-thanh-thai-va-xuan-thuy-dt-48m2-8225915.html
Đất nền/liền kề/đất dự án,"🏘Bán đất dt 110m2 xóm 2,An Hòa 1,Nhơn khánh,Tx An Nhơn, Bình Định",860 triệu,110 m²,"5,5x20m",Tây,,,,,Thị xã An Nhơn,đường 14m,https://alonhadat.com.vn/-ban-dat-dt-110m2-xom-2-an-hoa-1-nhon-khanh-tx-an-nhon-binh-dinh-18421231.html
Nhà trong hẻm,"Nhà nội bộ lê hồng phong ,phuong qui nhon","3,75 tỷ",45 m²,,Tây,3 tầng,4 PN,,,Thành phố Quy Nhơn,Đường rộng thoáng.  📍 Gần chợ,https://alonhadat.com.vn/nha-noi-bo-le-hong-phong-phuong-qui-nhon-18055956.html
"Biệt thự, nhà liền kề",Nhà Biệt Thự Mini Khu Tây An Dương Vương Trung Tâm Biển Quy Nhơn,10 tỷ,66 m²,"5,7x11,5m",Tây,3 tầng,5 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Văn Hiển,https://alonhadat.com.vn/nha-biet-thu-mini-khu-tay-an-duong-vuong-trung-tam-bien-quy-nhon-13527742.html
Đất nền/liền kề/đất dự án,Chính Thức Nhận booking có hoàn lại tại dự án Phú Tài Jade Garden giá dự kiến 12 triệu/m2,"1,2 tỷ",100 m²,5x20m,Đông,,,,,Huyện Tuy Phước,Đường Tăng Bạt Hổ,https://alonhadat.com.vn/chinh-thuc-nhan-booking-co-hoan-lai-tai-du-an-phu-tai-jade-garden-gia-du-kien-12-trieu-m2-16601427.html
Nhà trong hẻm,Bán Nhà FULL nội thất Hẻm Võ Mười Thông Trần Thị Kỷ – 3 Mê – Giá 2 Tỷ 950 (TL),"2,95 tỷ",35 m²,,,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,Đường Võ Mười,https://alonhadat.com.vn/ban-nha-full-noi-that-hem-vo-muoi-thong-tran-thi-ky-3-me-gia-2-ty-950-tl--18295654.html
Nhà trong hẻm,Bán nhà 3 mê mới xây hẻm 5m đg trần thị kỹ thông võ văn dũng dt 44m2 giá 5ty300,"5,3 tỷ",44 m²,,Đông,3 tầng,3 PN,3 WC,,Thành phố Quy Nhơn,đường trần thị kỹ thông qua võ văn dũng  -Nhà 3 mê tuyệt đẹp,https://alonhadat.com.vn/ban-lo-dat-khu-de-dong-duong-a7-lo-gioi-15m-dt-4x15-60m2-gia-2ty-15366078.html
Căn hộ chung cư,Cần bán Căn Hộ NOXH Nam Ngân View biển 850tr,850 triệu,54 m²,,,14 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Đinh Bộ Lĩnh,https://alonhadat.com.vn/can-ban-can-ho-noxh-nam-ngan-view-bien-780tr-ban-lo-tang-full-noi-that-50tr-goc-800tr--12724569.html
Đất thổ cư/đất ở,"Bán lô đất khu dân cư gần khu FPT LONG VÂN. Diện tích 130m2. đường rộng 14m. Giá 1,7 tỉ","1,7 tỷ",130 m²,5x26m,,,,,,Thành phố Quy Nhơn,đường rộng 14m. Giá 1,https://alonhadat.com.vn/tong-hop-gio-hang-nha-mat-tien-trung-tam-quy-nhon-tu-5-ty-9-ty-gia-tot-nhat-hien-nay--18010185.html
Đất thổ cư/đất ở,Đất Bán Khu Trường Cao Đẳng Bình Định đường Hùng Vương. Dt 70m2 đến 100m2 giá kđ 1tỷ790,"1,79 tỷ",100 m²,5x20m,Đông,,,,,Thành phố Quy Nhơn,đường Hùng Vương. Dt 70m2 đến 100m2 giá kđ 1tỷ790 Hôm qua   🔥🔥 Bán 67 lô đất ĐẤU GIÁ. Khu trường Cao Đẳng Bình Định và Trường cấp 3 Bùi Thị Xuân.  👉Diện tích: 72m2  - GiáKĐ: 1,https://alonhadat.com.vn/dat-ban-khu-truong-cao-dang-binh-dinh-duong-hung-vuong-dt-70m2-den-100m2-gia-kd-1ty790-18662964.html
Nhà mặt tiền,Bán nhà mặt tiền đường Thanh Niên 72m2,"7,85 tỷ",72 m²,"4,5x16m",Tây,3 tầng,3 PN,,,Thành phố Quy Nhơn,đường Thanh Niên 72m2 Hôm nay  Bán nhà 3 mê mặt tiền đường Tô Hiến Thành Diện tích: 72m2 ngang 4,https://alonhadat.com.vn/ban-nha-mat-tien-duong-dinh-bo-linh-55m2-va-62m2-17087253.html
Đất thổ cư/đất ở,"Bán đất xã nhơn lý, thành phố quy nhơn, tỉnh bình định","2,15 tỷ",105 m²,5x21m,Tây,,,,,Thành phố Quy Nhơn,đường đs07,https://alonhadat.com.vn/ban-dat-xa-nhon-ly-thanh-pho-quy-nhon-tinh-binh-dinh-14932027.html
Đất nền/liền kề/đất dự án,Bán đất KDC Suối Cả Nhơn Lý 105m2 giá 1ty950 cách biển 200m,"1,95 tỷ",105 m²,5x21m,Đông,,,,,Thành phố Quy Nhơn,Đường rộng - thoáng mát - 10m 👉 Hướng Tây Bắc - hướng tượng Phật và cánh đồng Quạt Gió 👉Cách Biển hơn ......  << Xem chi tiết >>   10m                                           Giá: 1,https://alonhadat.com.vn/ban-dat-kdc-suoi-ca-nhon-ly-105m2-gia-1ty950-cach-bien-200m-17548242.html
Đất nền/liền kề/đất dự án,"Bán đất khu vực 7,phường Bùi thị Xuân,TP Quy Nhơn, Bình Định","1,28 tỷ",100 m²,5x20m,Tây,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-dat-dt-100m2-khu-dan-cu-nga-ba-long-van-den-nga-tu-long-my-p-bui-thi-xuan-tp-quy-nhon-14126649.html
Nhà mặt tiền,Bán nhà mặt tiền đường Phó Đức Chính 40m2 và 43m2,"3,7 tỷ",40 m²,"4,1x9,7m",,,1 PN,,,Thành phố Quy Nhơn,đường Phó Đức Chính 40m2 và 43m2 Hôm nay  👉👉 Bán nhà cấp 4 cũ mặt tiền đường Phó đức Chính Dt: 40m2 ngang 4,https://alonhadat.com.vn/ban-nha-3-tang-mat-tien-duong-le-xuan-tru-80m2-12317595.html
Đất thổ cư/đất ở,Bán lô đất Biển - Nhơn Lý Quy Nhơn,"2,05 tỷ",90 m²,6x15m,,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-lo-dat-bien-nhon-ly-quy-nhon-18457711.html
Đất nền/liền kề/đất dự án,"🏠Bán đất  dt 122m2 ngãi chánh 3,Nhơn Hậu, tx An Nhơn, Bình Định","1,27 tỷ",122 m²,10x13m,Đông,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/-ban-dat-dt-120m2-ngai-chanh-3-nhon-hau-tx-an-nhon-binh-dinh-18218966.html
Đất nền/liền kề/đất dự án,"🔰Bán đất dt 83m2 tổ 3 kim châu ,Phường Bình Định, tx An Nhơn, Bình Định","1,09 tỷ",83 m²,5x16m,Đông,,,,,Thị xã An Nhơn,đường 14m,https://alonhadat.com.vn/-ban-dat-dt-83m2-to-3-kim-chau-phuong-binh-dinh-tx-an-nhon-binh-dinh-18512322.html
Nhà trong hẻm,"Bán nhà hẻm xuân diệu ,phường qui nhơn","3,55 tỷ",36 m²,,Đông,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Xuân Diệu,https://alonhadat.com.vn/ban-nha-hem-xuan-dieu-phuong-qui-nhon-18402407.html
Đất nền/liền kề/đất dự án,"Bán đất dt 100 m2 khu dân cư phía tây chu văn an,phường nhơn hưng, tx An Nhơn, Bình Định","1,43 tỷ",100 m²,5x20m,Bắc,,,,,Thị xã An Nhơn,đường chu văn an,https://alonhadat.com.vn/ban-dat-dt-124m2-khu-dan-cu-phia-tay-chu-van-an-phuong-nhon-hung-tx-an-nhon-binh-dinh-14041491.html
Đất thổ cư/đất ở,"Bán 2 lô liền kề chợ Dinh, gần chung cư ecohome","2,45 tỷ",95 m²,5x19m,,,,,Sổ hồng,Thành phố Quy Nhơn,Đường Nguyễn Diêu,https://alonhadat.com.vn/ban-2-lo-lien-ke-cho-dinh-gan-chung-cu-ecohome-18442295.html
Nhà trong hẻm,"⛔Bán CĂN HỘ MINI, Dòng Tiền 30 triệu/ tháng, Nguyễn Thái Học, 75m2 (12 x 6.25m) ❗6, 4x Tỷ","6,49 tỷ",75 m²,"12x6,95m",,5 tầng,10 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/-ban-can-ho-mini-dong-tien-30-trieu-thang-nguyen-thai-hoc-75m2-12-x-6-25m-6-1x-ty-16518174.html
Căn hộ chung cư,"Bán căn hộ cao cấp tms quy nhơn, loại căn 1 phòng ngủ, 46m2. Giá 1,35 tỉ","1,35 tỷ",46 m²,"4x11,5m",Tây,42 tầng,1 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Huệ,https://alonhadat.com.vn/ban-can-ho-cao-cap-tms-quy-nhon-loai-can-1-phong-ngu-46m2-gia-1-15-ti-13778962.html
Đất thổ cư/đất ở,"Bán lô đất vip nhất, vị trí đắc địa nhất thị trấn ven biển cát tiến:  mặt tiền nguyễn nhạc","6,9 tỷ",205 m²,8x26m,,,,,,Huyện Phù Cát,đường nguyễn nhạc. Thông tin chi tiết Mở Bán lô đất vip nhất,https://alonhadat.com.vn/ban-lo-dat-vip-nhat-vi-tri-dac-dia-nhat-thi-tran-ven-bien-cat-tien-mat-tien-nguyen-nhac-18077690.html
Đất nền/liền kề/đất dự án,"🏠Cần bán lô đất góc 2 mặt tiền đường xã Cát Thành,Phù cát, bình định","1,04 tỷ",187 m²,7x25m,Đông,,,,,Huyện Phù Cát,đường xã Cát Thành,https://alonhadat.com.vn/-can-ban-lo-dat-goc-2-mat-tien-duong-xa-cat-thanh-phu-cat-binh-dinh-15855427.html
Nhà mặt tiền,NHÀ 4 TẦNG MẶT TIỀN KINH DOANH ĐƯỜNG HAI BÀ TRƯNG - CÁCH BIỂN 5 PHÚT ĐI BỘ !,"4,2 tỷ",26 m²,"4x6,5m",Bắc,4 tầng,2 PN,1 WC,,Thành phố Quy Nhơn,ĐƯỜNG HAI BÀ TRƯNG - CÁCH BIỂN 5 PHÚT ĐI BỘ ! Hôm nay   • Nhà 4 tầng mặt tiền kinh doanh đường Hai Bà Trưng • Vị trí trung tâm,https://alonhadat.com.vn/nha-4-tang-mat-tien-kinh-doanh-duong-hai-ba-trung-cach-bien-5-phut-di-bo--18618056.html
Đất nền/liền kề/đất dự án,"Cần bán gấp lô đất dt 97m2 khu dân cư phía đông Nguyễn văn linh,P Bình Định, tx an nhơn,B","1,67 tỷ",97 m²,"5x19,5m",Nam,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/can-ban-gap-lo-dat-dt-110m2-khu-dan-cu-phia-dong-nguyen-van-linh-p-binh-dinh-tx-an-nhon-b-14034267.html
Đất thổ cư/đất ở,"Bán đất ven biển xã cát hải, huyện phù cát, tỉnh bình định.",9 triệu,300 m²,10x30m,Đông,,,,,Huyện Phù Cát,đường đs16. Giá bán 9 triệu/m2  Quý khách hàng quan tâm vui lòng liên hệ để tư vấn xem đất. Xin cả......  << Xem chi tiết >>   14m                                           Giá: 9 triệu / m²                                               Diện tích: 300 m² KT: 10x30mHướng: Đông Nam,https://alonhadat.com.vn/ban-dat-view-bien-xa-cat-hai-huyen-phu-cat-tinh-binh-dinh--14286529.html
Đất nền/liền kề/đất dự án,"🟥Cần bán lô đất Dt 114m2  hòa cư,P Nhơn Hưng,tx An Nhơn, Bình Định","1,47 tỷ",114 m²,5x22m,Bắc,,,,,Thị xã An Nhơn,đường chu văn an,https://alonhadat.com.vn/-can-ban-lo-dat-dt-100m2-hoa-cu-p-nhon-hung-tx-an-nhon-binh-dinh-17040226.html
Đất thổ cư/đất ở,"Bán lô đất vị trí đắc địa nhất: mặt tiền đường ven biển ĐT639,thuộc thôn tân thanh",12 triệu,250 m²,10x25m,,,,,,Huyện Phù Cát,đường ven biển ĐT639,https://alonhadat.com.vn/ban-lo-dat-vi-tri-dac-dia-nhat-mat-tien-chinh-tuyen-duong-ven-bien-dt639-thuoc-thon-tan-t-17918879.html
Nhà mặt tiền,🔥 BÁN NHÀ 4 TẦNG MT XUÂN THUỶ – NGAY CC XUÂN THUỶ – QUY NHƠN 🔥,"7,85 tỷ",76 m²,5x15m,Đông,4 tầng,5 PN,,,Thành phố Quy Nhơn,Đường Xuân Thủy,https://alonhadat.com.vn/can-ban-nha-3-me-goc-2-mat-tien-duong-nguyen-hue-dt-67m2-ngang-4-5m-15223651.html
"Biệt thự, nhà liền kề",Bán biệt thự Biển Quy Nhơn khu flc hải âu hoàng yến và toàn nhà hàng khách sạn lớn phường,18 tỷ,200 m²,7x14m,Đông,3 tầng,6 PN,,,Thành phố Quy Nhơn,đường Khu An Dương Vương 200m2 .  ⛵ Vị trí: cách Biển 30 mét,https://alonhadat.com.vn/ban-biet-thu-bien-quy-nhon-khu-flc-hai-au-hoang-yen-va-toan-nha-hang-khach-san-lon-phuong-17488972.html
"Biệt thự, nhà liền kề","Bán căn biệt thự đẹp tại khu đô thị Đại Phú Gia, phường Quy Nhơn Đông, tỉnh Gia Lai",10 tỷ,200 m²,10x20m,Đông,3 tầng,4 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-can-biet-thu-dep-tai-khu-do-thi-dai-phu-gia-phuong-quy-nhon-dong-tinh-gia-lai-17411458.html
Đất thổ cư/đất ở,"Bán đất khu phố phương phi, thị trấn cát tiến, huyện phù cát, bình định.","2,1 tỷ",145 m²,7x22m,Bắc,,,,,huyện phù cát,,https://alonhadat.com.vn/ban-dat-khu-pho-phuong-phi-thi-tran-cat-tien-huyen-phu-cat-binh-dinh--14480003.html
Đất nền/liền kề/đất dự án,BIỆT THỰ ĐẢO NỔI TẠI HƯNG ĐỊNH CITY - NÂNG TẦM ĐẲNG CẤP GIỚI THƯỢNG LƯU !,6 tỷ,223 m²,10x17m,Tây,,,,,Thị xã An Nhơn,Đường Trần Phú,https://alonhadat.com.vn/biet-thu-dao-noi-tai-hung-dinh-city-nang-tam-dang-cap-gioi-thuong-luu--10848891.html
Đất nền/liền kề/đất dự án,Cần bán lô đất 250m2 ngang 10m cách bãi tắm Cát Tiến 100m hơn,"6,3 tỷ",250 m²,10x25m,Đông,,,,,Huyện Phù Cát,Đường rộng - thoáng mát 👉Đường 20.5m 👉Cách Biển hơn 100m 👉Phù hợp kinh doanh KS,https://alonhadat.com.vn/can-ban-lo-dat-250m2-ngang-10m-cach-bai-tam-cat-tien-100m-hon-16949961.html
Đất thổ cư/đất ở,"Đất gần khu Trung Tâm Hành Chính tỉnh mới tại Nhơn Hội, Quy Nhơn giá chỉ từ 10 triệu/m2",10 triệu,132 m²,"8x16,5m",,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/dat-gan-khu-trung-tam-hanh-chinh-tinh-moi-tai-nhon-hoi-quy-nhon-gia-chi-tu-10-2-trieu-m2-16540557.html
Nhà trong hẻm,bán nhà hẻm rộng cạn hoa lư quy nhơn,"2,95 tỷ",96 m²,"3,3x29,09m",Tây,2 tầng,3 PN,2 WC,Sổ đỏ,Thành phố Quy Nhơn,Đường Lê Đại Hành,https://alonhadat.com.vn/ban-nha-hem-rong-can-hoa-lu-quy-nhon-18710804.html
Đất nền/liền kề/đất dự án,"Bán đất 96m2 khu QH dân cư,phía tây ,ubnd phường nhơn  hòa,tx An Nhơn, Bình Định",760 triệu,96 m²,6x16m,Tây,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/ban-dat-96m2-khu-qh-dan-cu-phia-tay-ubnd-nhon-hoa-tx-an-nhon-binh-dinh-17438776.html
Nhà trong hẻm,Cần bán nhà 4 mê đường nội bộ 6mét oto đậu Nguyễn Thái Học. 80m2 ngang 5m giá 5tỷ5,"5,5 tỷ",80 m²,5x16m,Đông,3 tầng,4 PN,4 WC,,Thành phố Quy Nhơn,đường nội bộ 6mét oto đậu Nguyễn Thái Học. 80m2 ngang 5m giá 5tỷ5 Hôm nay  Cần bán nhà 4 mê đường Nội bộ 6mét oto đậu trước nha Nguyễn Thái Học thông Hoàng Văn thụ.  Nhà còn mới thuộc phường Ngô Mây 4 phòng ngủ,https://alonhadat.com.vn/can-ban-nha-4-me-duong-noi-bo-6met-oto-dau-nguyen-thai-hoc-80m2-ngang-5m-gia-5ty5-13553320.html
Nhà trong hẻm,Bán nhà hẻm nhựa xe hơi Lê Hồng Phong gần biển Quy Nhơn,"3,85 tỷ",45 m²,6x7m,Tây,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Lê Hồng Phong,https://alonhadat.com.vn/ban-nha-hem-nhua-xe-hoi-le-hong-phong-gan-bien-quy-nhon-18026460.html
